<<<<<<< HEAD
Year,Actual_PM25,Predicted_PM25
2015.0,97.0,97.0
2015.0,97.0,97.0
2015.0,97.0,97.0
2015.0,97.0,97.0
2015.0,97.0,97.0
2015.0,97.0,97.0
2015.0,97.0,97.0
2015.0,97.0,97.0
2015.0,97.0,97.0
2015.0,97.0,97.0
2015.0,97.0,97.0
2015.0,97.0,97.0
2015.0,97.0,97.0
2015.0,97.0,97.0
2015.0,97.0,97.0
2015.0,97.0,97.0
2016.0,97.0,97.0
2016.0,97.0,97.0
2016.0,97.0,97.0
2016.0,97.0,97.0
2016.0,97.0,97.0
2016.0,97.0,97.0
2016.0,97.0,97.0
2016.0,97.0,97.0
2016.0,97.0,97.0
2016.0,97.0,97.0
2016.0,97.0,97.0
2016.0,97.0,97.0
2016.0,97.0,97.0
2017.0,97.0,97.0
2017.0,97.0,97.0
2017.0,97.0,97.0
2017.0,97.0,97.0
2017.0,97.0,97.0
2017.0,97.0,97.0
2017.0,97.0,97.0
2017.0,97.0,97.0
2017.0,97.0,97.0
2017.0,97.0,97.0
2017.0,97.0,97.0
2017.0,97.0,97.0
2017.0,97.0,97.0
2017.0,97.0,97.0
2017.0,97.0,97.0
2017.0,97.0,97.0
2017.0,97.0,97.0
2017.0,97.0,97.0
2017.0,97.0,97.0
2017.0,97.0,97.0
2017.0,97.0,97.0
2017.0,97.0,97.0
2017.0,97.0,97.0
2017.0,97.0,97.0
2017.0,97.0,97.0
2017.0,97.0,97.0
2017.0,97.0,97.0
2017.0,97.0,97.0
2018.0,97.0,109.57995211155165
2018.0,97.0,109.57995211155165
2018.0,97.0,109.57995211155165
2018.0,97.0,109.57995211155165
2018.0,117.0,109.57995211155165
2018.0,147.0,109.57995211155165
2018.0,127.0,109.57995211155165
2018.0,83.0,109.57995211155165
2018.0,97.0,109.57995211155165
2018.0,129.0,109.57995211155165
2018.0,97.0,109.57995211155165
2018.0,98.0,109.57995211155165
2018.0,108.0,109.57995211155165
2018.0,146.0,109.57995211155165
2018.0,143.0,109.57995211155165
2018.0,141.0,109.57995211155165
2018.0,100.0,109.57995211155165
2018.0,97.0,109.57995211155165
2018.0,97.0,109.57995211155165
2018.0,97.0,109.57995211155165
2018.0,97.0,109.57995211155165
2018.0,97.0,109.57995211155165
2018.0,97.0,109.57995211155165
2018.0,114.0,109.57995211155165
2018.0,130.0,109.57995211155165
2018.0,97.0,109.57995211155165
2018.0,97.0,109.57995211155165
2018.0,121.0,109.57995211155165
2018.0,97.0,109.57995211155165
2018.0,97.0,109.57995211155165
2018.0,102.0,109.57995211155165
2018.0,107.0,109.57995211155165
2018.0,138.0,109.57995211155165
2018.0,134.0,109.57995211155165
2018.0,121.0,109.57995211155165
2018.0,77.0,109.57995211155165
2018.0,97.0,109.57995211155165
2018.0,97.0,109.57995211155165
2018.0,97.0,109.57995211155165
2018.0,106.0,109.57995211155165
2018.0,97.0,109.57995211155165
2018.0,105.0,109.57995211155165
2018.0,97.0,109.57995211155165
2018.0,89.0,109.57995211155165
